Gene_1,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52
Gene_34,-3.343475,-0.3764115,-2.444073,-3.243185,-2.380237,4.554715,-3.005413,0.2787351,-0.8464665,82.36983,2.774668,-7.126731,-6.904887,-4.006825,-0.9668722,42.24799,0.2260731,3.131518,-5.135601,-4.637314,-3.322021,-2.62759,0.1321304,-5.100756,-3.040907,-1.982577,4.223342,1.345078,-0.3348601,-2.139536,-4.152481,-0.07536077,2.294436,9.727054,-7.809875,-1.091825,-6.307274,-8.436382,-3.570792,3.812259,-4.694992,-5.282475,6.255928,-4.317354,1.502043,0.2268993,-3.735166,-6.584356,3.881898,-1.774582,19.57903,-0.1855765
Gene_47,260.2509,303.9856,179.77,152.6331,111.8554,141.4218,87.36873,169.7219,122.8084,98.22164,214.6167,133.9155,80.79954,103.9389,131.4903,141.6836,90.0598,119.0329,161.2545,124.4079,98.19429,108.8222,105.2705,120.1054,152.2994,144.6607,240.0402,247.667,135.2444,196.5814,113.8184,96.31389,152.9868,183.1904,59.44629,129.308,143.8245,139.6865,122.842,171.6707,120.3637,149.4834,155.8295,155.9904,114.8299,133.6686,130.9482,130.0605,228.0937,148.7191,161.0654,161.722
Gene_65,272.7235,170.1872,12.87197,-9.910403,56.67587,13.18179,405.9319,-8.026368,247.9373,94.36075,545.9778,-2.963305,134.7008,314.6581,1082.333,91.68285,23.98094,-4.457959,311.8496,2.177447,5.294403,2.049848,210.5107,-3.494238,38.59576,5.789185,-0.368306,-11.87552,224.5782,17.11793,203.5542,346.9859,379.635,115.3357,-5.296768,-5.783917,498.815,9.727054,334.972,18.16913,430.0036,-2.166114,148.3427,-5.014105,116.722,111.9941,5.460639,3.166359,-6.974527,0.9382811,5.680683,3.192841
Gene_83,46.28062,26.36866,29.36836,6.371421,5.624731,15.78862,13.00605,77.88218,15.80173,40.06725,26.16155,20.31644,10.52249,13.82405,4.272974,38.43111,-0.02499899,23.21868,14.99626,15.59619,-2.303404,25.50548,-3.200343,23.17903,-3.782335,36.08818,-0.0590065,85.38825,13.55219,13.84036,15.73969,23.90222,15.14536,82.08418,-2.626063,32.75147,14.11286,11.63948,-2.331426,21.20622,-7.692087,4.234717,-0.1904754,1.778388,-5.202343,-6.777601,22.43897,4.139846,3.200263,1.778388,11.07292,19.85921
Gene_248,95.4665,116.0015,59.41452,58.99429,122.0816,62.03582,116.0612,127.3862,236.1656,103.9852,120.4411,60.97808,105.5187,71.91788,152.8992,100.682,158.8188,136.6195,290.4239,261.892,356.545,157.104,201.6363,72.47308,167.077,82.40473,83.41943,84.39235,80.75836,76.35557,104.8117,74.63264,70.0643,75.1762,296.202,154.2237,204.7997,100.7098,200.7666,113.2092,268.2569,133.1956,174.0809,115.856,338.383,341.7503,138.171,180.6725,89.21507,108.1249,110.5401,151.0541
Gene_323,-5.390534,0.7115074,-0.5725452,-5.586561,-1.05607,-4.92657,-5.849567,-5.785984,-4.7317,-12.16394,-4.990338,-1.470115,-0.3417734,-8.661323,-6.84435,-11.91955,-7.553763,-3.913602,-14.74698,-11.82081,-11.16558,-3.578344,-11.46974,-7.713366,-9.330585,-2.503267,-7.765526,-6.156106,-7.781213,-12.22383,-8.923394,-5.878296,-11.68315,2.421205,-7.105401,-8.4827,-7.928426,-10.49776,-5.623587,-6.574917,-11.6692,-3.80706,-0.6418918,-4.879536,-14.9817,-5.845405,-3.049078,-8.611762,-14.80992,-7.615035,-8.018048,-7.031596
Gene_392,518.5846,336.4365,420.3457,309.6207,430.6267,391.4957,737.9905,250.4642,322.5724,165.6886,766.3846,560.6502,349.0806,305.1657,933.374,275.797,615.2803,289.2036,287.8524,366.2265,783.4553,314.4153,475.1814,453.9191,413.6229,233.5413,423.0809,194.0805,300.8408,292.3651,242.1825,297.6378,360.7277,413.5067,399.4672,251.656,255.0783,321.7214,325.0247,309.6207,222.0919,264.2858,244.9419,181.5181,310.4173,341.4377,264.2858,260.6355,289.3523,153.541,241.6176,260.1778
Gene_524,18.2641,10.55866,1043.835,1045.913,120.2725,186.1494,19.64094,730.8372,44.83056,289.3523,-5.454869,1568.682,8.643641,374.4905,194.1448,1508.969,-0.5972069,113.396,-1.760896,133.8123,70.54709,483.7091,-6.372016,1229.91,-9.835459,246.71,-3.381953,963.7785,4.622244,197.7949,80.56016,406.8488,95.57886,368.3163,3.742128,547.0103,35.40483,312.8566,0.7115074,369.2607,8.25605,233.3351,24.52468,1435.453,-1.798227,0.8614974,776.699,942.4744,204.8655,33.70317,476.45,629.645
Gene_559,1.727719,3.537688,2.822677,2.763305,0.3983136,0.04271197,-7.314806,1.71479,1.7356,3.316944,-3.687028,73.96299,-0.6586658,21.79621,2.414122,2.074485,-0.2251773,3.49635,1.748977,5.904313,7.298407,2.714034,1.859184,72.31773,2.209912,-0.2964738,2.889065,2.60087,-2.624422,-3.996568,-3.568623,-4.716257,3.380105,7.880015,3.478602,-3.1795,6.241833,6.651281,-0.5734671,-4.977797,-3.049078,2.967256,1.812653,-0.002069574,3.458619,-2.016008,8.068511,-0.5761304,3.954585,8.143432,1.487215,3.300794
Gene_619,617.9372,731.6986,506.6552,514.7828,438.5968,649.7249,318.7754,376.575,342.8788,412.8512,348.7603,575.4296,343.8173,328.0818,334.8681,858.1127,393.02,852.8369,514.6057,580.2922,165.4377,702.7253,133.0894,396.8694,466.9417,696.5394,715.1211,880.4954,160.2332,464.2121,361.7071,671.9929,260.4016,492.6726,201.1534,719.5609,277.9943,783.1438,236.1656,575.6639,210.5107,608.175,261.811,693.8685,117.8658,162.0088,292.2688,363.5881,582.9807,1071.546,386.8659,485.9968
